Unnamed: 0,번호,제목,저자,출판사,출판일
,73,"The Molecular Revolution in Cutaneous Biology: The Era of Genome-Wide Association Studies and Statistical, Big Data, and Computational Topics","Anbunathan, Hima; Bowcock, Anne M.",Nature Publishing Group,2017
,74,Correlation between Total Solar Irradiance and Glycated Hemoglobin 2 to 3 Months Later in Patients with Diabetes: A Big-Data Analysis,"Kinchiku, S.; Kotani, K.; Maruguchi, Y.; Aikou, A.; Uenomachi, H.; Kajiya, S.",Elsevier,2016
,75,Challenge and Prospects for Fault Diagnosis of Power Battery System for Electrical Vehicles Based on Big-data,"Wang, Zhenpo; Li, Xiaoyu; Yuan, Changgui; Li, Xiaohui",unknown,2021
,76,Impacts of COVID-19 pandemic on user behaviors and environmental benefits of bike sharing: A big-data analysis,"Shang, Wen-Long; Chen, Jinyu; Bi, Huibo; Sui, Yi; Chen, Yanyan; Yu, Haitao","Elsevier Science B.V., Amsterdam.",2021
,77,"Determinant roles of gender and age on sii, plr, nlr, lmr and mlr and their reference intervals defining in henan, china: a posteriori and big‐data‐based","Meng, Xianchun; Chang, Qian; Liu, Yuying; Chen, Ling; Wei, Gaohui; Yang, Jingjing; Zheng, Peiguo; He, Fucheng; Wang, Wanhai; Ming, Liang","John Wiley & Sons, Ltd",2018
,78,``Big-Data'' in Ecological Science and Seeds for Interdisciplinary Researches,"Ooba, M.",JAPANESE SOC ARTIFICIAL INTELL,2013
,79,"A ""big-data"" algorithm for KNN-PLS","Metz, Maxime; Lesnoff, Matthieu; Abdelghafour, Florent; Akbarinia, Reza; Masseglia, Florent; Roger, Jean-Michel","Elsevier Science B.V., Amsterdam.",2020
,80,``MONOTSUKURI Innovation'' and Continuous Evolution with ``Big-data'',"Sazaki,  Takashi; Hayashi,  Kazuya",SOCIETY OF AUTOMOTIVE ENGINEERS OF JAPAN,2017
,81,P2‐028: DONEPEZIL USE AND THE EMERGENCE OF COMORBIDITY IN PATIENTS WITH ALZHEIMER'S DEMENTIA: FINDINGS FROM REAL‐WORLD ‘BIG‐DATA’ IN JAPAN,Hiroyuki Kobayashi,wiley,2018
,82,DONEPEZIL USE AND THE EMERGENCE OF COMORBIDITY IN PATIENTS WITH ALZHEIMER'S DEMENTIA: FINDINGS FROM REAL-WORLD 'BIG-DATA' IN JAPAN,"Kobayashi, Hiroyuki; Arai, Heii",ELSEVIER SCIENCE B.V. AMSTERDAM,2018
,83,P2‐028: DONEPEZIL USE AND THE EMERGENCE OF COMORBIDITY IN PATIENTS WITH ALZHEIMER'S DEMENTIA: FINDINGS FROM REAL‐WORLD 'BIG‐DATA' IN JAPAN,"Kobayashi, Hiroyuki",John Wiley & Sons Ltd,2018
,84,"Big data small data. The concept of big data is hard to quantify, so it's good to remember hat big data is made up of small data","Randall, C.",CENTAUR MEDIA PLC,2013
,85,Big data: More than big data sets,"Cobb, Adrienne N.; Benjamin, Andrew J.; Huang, Erich S.; Kuo, Paul C.","Elsevier Science B.V., Amsterdam",2018
,86,"Big Data‐Savvy Teams’ Skills, Big Data‐Driven Actions and Business Performance",Pervaiz Akhtar,wiley,2019
,87,Big data? Big deal: Searching for big data's performance effects in HR,"Holwerda, Jacob A.","Elsevier Science B.V., Amsterdam.",2021
,88,Big data -+-politics-=-open data: The case of health care data in England,"Keen, J.; Calinescu, R.; Paige, R.; Rooksby, J.",Wiley,2013
,89,"BIG DATA, BIGGER QUESTIONS: DATA-BASED BUSINESS MODELS AND THEIR IMPLICATIONS FOR ORGANIZATIONAL BOUNDARIES, DATA GOVERNANCE, AND SOCIETY","Shantz, Angelique Slade",Emerald,2018
,90,Big Security for Big Data: Addressing Security Challenges for the Big Data Infrastructure,"Demchenko, Y.; Ngo, C.; de Laat, C.; Membrey, P.; Gordijenko, D.",SPRINGER-VERLAG,2014
,91,Big data: What does big data mean? And what are its implications for marketers and brands?,unknown,CENTAUR MEDIA PLC,2012
,92,BIG DATA: LEVERAGING BIG DATA TO IMPROVE SUBSCRIBER SERVICE MANAGEMENT,unknown,CAHNERS BUSINESS INFORMATION,2012
,93,Big Data Mining or Turning Data Mining into Predictive Analytics from Large-Scale 3Vs Data: The Future Challenge for Knowledge Discovery,"Cuzzocrea, A.",SPRINGER-VERLAG,2014
,94,BIG DATA: The harnessing of `big data' by companies is one way to improve operations and product development,unknown,BRW MEDIA,2011
,95,Big Data: Trade-off between Data Quality and Data Security,"TALHA, M.","Elsevier Science B.V., Amsterdam",2019
,96,BIG DATA: NAVIGATING FEDERAL AIMS STATE PRIVACY LAWS What are the potential pitfalls of applying Big Data to healthcare? A legal expert at the law firm Foley &amp; Lardner offers advice for complying with federal and state privacy laws,"Habte, M.L.","HEALTH DATA ANALYSIS, INC.",2015
,97,Big data meets materials science: Training the future generation Capitalizing on the promise of ``big data'' will require materials scientists who are trained in data informatics. Several universities are answering the call,"Dickey,  Elizabeth; Arthur,  Greer",AMERICAN CERAMIC SOCIETY,2017
,98,Big Data Utilization for Improvement of Anesthesia Practice ; Preface and Comments : Big Data. What for ? Contribution of Individual Anesthesiologist,"Isono, S.",KOKUSEIDO PUBL. CO,2019
,99,"Big Data Promises to Pay Big Dividends ...for SWD, Inc., a continuous-improvement-minded provider of metal-finishing and fastener-sorting services. New data-discovery and analysis software allows SWD management to unlock new pathways to improved performance, and serves as the foundation for its customer-communication strategy of the future",unknown,PRECISION METALFORMING,2015
,100,Big data Preparing for the future of `smart water' and `big data',"Slawecki,  Tad; McMaster,  Cecil; Lodhi,  Mujib; Horvath,  Eric; Hornback,  Chris; Nakamura,  Brianne",WATER ENVIRONMENT FEDERATION,2016
,1,Big data An introduction to ``big data'' as a technique to gain competitive advantage from a company's biggest IT asset: data,unknown,ISA INSTRUMENT SOCIETY OF AMERICA,2013
,2,Big data from small data: data-sharing in the 'long tail' of neuroscience,"Ferguson, A. R.; Nielson, J. L.; Cragin, M. H.; Bandrowski, A. E.; Martone, M. E.",Nature Publishing Group,2014
,3,"``Big data'' and device reprocessing among FDA's device science goals - FDA's device Center Science Council wants to leverage so-called big data and evidence from real-world clinical experience, improve reprocessing of reusable medical devices, and enhance use of health information technology and device cybersecurity, among other FY 2016 regulatory science goals",unknown,Elsevier Business Inteligence,2015
,4,"Big Data: Big Gain or Big Pain for Lawyers? Huge quantities of data offer a potential boon to lawyers, but they will cause headaches, too","Nelson, S.D.; Simek, J.W.",AMERICAN BAR ASSOCIATION,2013
,5,"Big Data, Little Data, No Data: Scholarship in the Networked World","Greenberg, Jane",Taylor & Francis,2016
,6,Big data: big opportunities or big challenges?,"Elder, Dave P.",RUSSELL PUBLISHING LTD,2018
,7,Big Data: The Fourth Data Management Generation,"Watson, H.J.; Marjanovic, O.",The Data Warehouse Institute,2013
,8,Big Data: Big Pain or Big Gain for Lawyers?,"Nelson, S.D.; Simek, J.W.",AMERICAN BAR ASSOCIATION,2013
,9,Big Data and Risk Management The financial services industry provides lessons on how to prevent ``Big Data'' from becoming a big problem,unknown,RISK MANAGEMENT SOC PUBLISHING INC,2012
,10,BIG DATA IS A BIG DEAL The E&amp;P industry must work with ``big data'' to meet future demand from a growing global population,unknown,SOCIETY OF PETROLEUM ENGINEERS OF AIME,2013
,11,Big Data: Friend or Foe of Digital Advertising? Five Ways Marketers Should Use Digital Big Data to Their Advantage,"Fulgoni, G.",World Advertising Research Center,2013
,12,Data Protection in an Era of Big Data: The Challenges Posed by Big Personal Data,"Paterson, Moira; McDonagh, Maeve",unknown,2018
,13,Big Analogue Data: The Biggest of Big Data,unknown,FINDLAY PUBLICATIONS LTD,2014
,14,"Big data: internal audit Liz Sandwith of the Chartered Institute of Internal Auditors, looks at how big data affects the internal audit process",unknown,INSTITUTE OF CHARTERED ACCOUNTANTS,2017
,15,Big Data-Based Improved Data Acquisition and Storage System for Designing Industrial Data Platform,unknown,IEEE,2019
,16,最近のIoT・Big Dataでの食品産業製造の変化 (特集 AI・IoT・Big Dataの時代 食品製造プロセスと粉粒体処理技術),中村 茂弘,工業調査會,2019
,17,"Big Data, Little Data, No Data: Scholarship in the Networked World","Fu, Tao",Taylor & Francis,2017
,18,"Big Data, Little Data, No Data: Scholarship in the Networked World by Christine L. Borgman. Cambridge, MA: MIT Press, 2015. 400 pp. $32 (hardcover). (ISBN 9780262028561).","Tenopir, C.",John Wiley & Sons Ltd,2016
,19,"Big Data, Little Data, No Data: Scholarship in the Networked World. By Christine L. Borgman","Lemieux,  Thomas Mayer",CANADIAN JOURNAL OF COMMUNICATION CORPORATION,2017
,20,Big Benefit from Big Data: A Real-Time Data Product Creation and Distribution System,"Haderman, M.D.; Pasch, A.N.; Dye, T.S.; Chan, A.C.; Miller, D.S.; White, J.E.; Dickerson, P.G.",Kluwer Academic Publishers,2014
,21,WHAT DATA SAYS ABOUT US What are we learning from the vast ocean of data? Truths about our measured world and our measured selves. Excerpted from The Human Face of Big Data,"Smolan, R.; Erwitt, J.",TIME INC,2012
,22,Advanced data analytics for enhancing building performances: From data-driven to big data-driven approaches,"Fan, Cheng",Springer Nature,2021
,23,Why ``Big Data'' Is a Big Deal New methods for understanding the torrent of data promise to save lives and propel scholarship,"Shaw, J.",HARVARD MAGAZINE INC.,2014
,24,Demystifying big data: Anatomy of big data developmental process,"Shin, Dong-Hee","Elsevier Science B.V., Amsterdam.",2016
,25,"Cognitive big data: survey and review on big data research and its implications. What is really ""new"" in big data?","Lugmayr, Artur; Stockleben, Björn; Scheib, Christoph; Mailaparampil, Mathew A.",Emerald Group Publishing limited,2017
,26,Building Data Warehouses in the Era of Big Data: An Approach for Scalable and Flexible Big Data Warehouses,"Costa, Carlos; Santos, Maribel Yasmina",Springer,2019
,27,"A data-driven revolution The Internet of Things, big data, data analytics, and cloud computing can be used to create platform-independent advanced process control solutions to help industry optimize operations","Domínguez, Luis; Kumar, S. Mohan; Gallestey, Eduardo; Saynevirta, Simo",ISA INSTRUMENT SOCIETY OF AMERICA,2017
,28,"Thinking Big Transitioning your students from working with small, student-collected data sets toward ``big data''","Kastens,  Kim; Krumhansl,  Ruth; Baker,  Irene",NATIONAL SCIENCE TEACHERS ASSOCIATION,2015
,29,"A data-driven revolution The Internet of Things, big data, data analytics, and cloud computing can be used to create platform-independent advanced process control solutions to help industry optimize operations","Domínguez,  Luis; Kumar,  S. Mohan; Gallestey,  Eduardo; Saynevirta,  Simo",ISA INSTRUMENT SOCIETY OF AMERICA,2017
,30,From Big to Smart Data: Iterative ensemble filter for noise filtering in Big Data classification,Diego García‐Gil,wiley,2019
,31,Think Big with Big Data: Identifying Suitable Big Data Strategies in Corporate Environments,"Ebner, K.; Buhnen, T.; Urbach, N.",IEEE,2014
,32,Demystifying big data: Anatomy of big data developmental process. Telecommunications Policy 40: 837-854,"Shin, D.-H.","Elsevier Science B.V., Amsterdam.",2020
,33,Master data management for manufacturing big data: a method of evaluation for data network,"Zhao, Chun",Springer Nature,2020
,34,Polystore Data Management Systems for Managing Scientific Data-sets in Big Data Archives,"Patidar, Rashmi Girirajkumar; Shrestha, Shashank; Bhalla, Subhash",Springer,2018
,35,"Imagining big data: Illustrations of “big data” in US news articles, 2010-2016",Christian Pentzold; Cornelia Brantner; Lena Fölsche,SAGE PUBLICATIONS LTD,2019
,36,"Editorial: Big Data and New Drug Discovery: Tackling ""Big Data"" for Virtual Screening of Large Compound Databases","C. Basak, Subhash; Vracko, Marjan; K. Bhattacharjee, Apurba",Bentham Science Publishers Ltd,2015
,37,Processes meet Big Data: Scaling process discovery algorithms in Big Data environment,"Hicham, Reguieg",ELSEVIER SCIENCE B.V. AMSTERDAM,2022
,38,Publicly Available Data and Pediatric Mental Health: Leveraging Big Data to Answer Big Questions for Children,"Blair, L. M.","Elsevier Science B.V., Amsterdam",2016
,39,"Busting the big data myths. A backlash against `big data' has led to questions about whether it is overrated, but Bright North's Rob Hick believes it does offer opportunities and provides pointers on how to make the most of them","Hick, R.",CENTAUR MEDIA PLC,2014
,40,Biobanking with Big Data: A Need for Developing “Big Data Metrics”,unknown,Mary Ann Leibert Inc.,2016
,41,Difficulties Implementing Big Data: A Big Data Implementation Study,"Spraker, Kyle",Springer,2018
,42,"Little Teams, Big Data: Big Data Provides New Opportunities for Teams Theory",Dorothy R. Carter; Raquel Asencio; Amy Wax; Leslie A. DeChurch; Noshir S. Contractor,Blackwell Pub.,2015
,43,Cybersecurity in Big Data Era: From Securing Big Data to Data-Driven Security,"Rawat, Danda B.; Doku, Ronald; Garuba, Moses",Institute of Electrical & Electronics Engineers,2021
,44,Reining in Big Data Semantic databases may be the tools banks need to harness big data's potential,unknown,MILLER FREEMAN INC,2012
,45,Can Sensors Collect Big Data? An Energy-Efficient Big Data Gathering Algorithm for a WSN,"Rani, S.; Ahmed, S. H.; Talwar, R.; Malhotra, J.",IEEE,2017
,46,"Christine L. Borgman, Big Data, Little Data, No Data: Scholarship in the Networked World","Stevens,  Hallam",Johns Hopkins University Press,2016
,47,"The value of `big data' The use of ``big data'' provides the industry with an opportunity to improve energy efficiency, minimize environmental impact and optimize operational performance. How do we work as an industry to unlock its value?",unknown,SIMMONS-BOARDMAN PUBLISHING CORPORATION,2014
,48,Towards building a data-intensive index for big data computing – A case study of Remote Sensing data processing,"Ma, Y.; Wang, L.; Liu, P.; Ranjan, R.","Elsevier Science B.V., Amsterdam.",2015
,49,U.S. Government BETS Big on Data: A multi-agency big data initiative offers an array of national advantages,"Seffers, G.I.",AFCEA ARMED FORCES COMMUNICATIONS AND,2013
,50,"The Benefits of Big Data ``Big data'' can be challenging to acquire and use, but the rewards can boost business performance","Roberts, B.",SOCIETY FOR HUMAN RESOURCE MANAGEMENT,2013
,51,"Exploratory vs solution-seeking big data: Discussion for ""Experiences with big data: Accounts from a data scientist's perspective""","M. Anderson-Cook, Christine",Taylor & Francis,2020
,52,The GDPR and Big Data: Leading the Way for Big Genetic Data?,"Pormeister,  Kärt",Springer,2017
,53,"The Politics of Big Data: Big Data, Big Brother?A.R.SætnanI.SchneiderN.Green (eds 2018LondonRoutledge 346 pp., £ 105 ISBN 987‐1‐138‐29374‐8","King, Tom",John Wiley & Sons Ltd,2019
,54,The Case for Big Data: New York City's Kalvi HUMAN Project Aims to Use Big Data in Resolving Big Health Questions,"Mertz, L.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2016
,55,Getting real about Big Data: applying critical realism to analyse Big Data hype,"Fox, S.; Do, T.",EMERALD,2013
,56,Dove abitano i big data: Where Big Data Lives,Caterina Pagliara,RCS Mediagroup,2015
,57,"The politics of big data. Big data, big brother?","Mager, Astrid",Taylor & Francis,2019
,58,"Convex Optimization for Big Data: Scalable, randomized, and parallel algorithms for big data analytics","Cevher, V.; Becker, S.; Schmidt, M.",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2014
,59,Guest Editorial: What’s so big about Big Data? Finding the spaces and perils of Big Data,"Burns, R.; Thatcher, J.",Springer Science + Business Media,2015
,60,Was braucht's fur Big Data? Von kleinen Proben zu Big Data: die Zukunft des digitalen Labors,unknown,VOGEL VERLAG UND DRUCK KG,2014
,61,"Political Science and Big Data: Structured Data, Unstructured Data, and How to Use Them","Grossman, Jonathan; Pedahzur, Ami",THE ACADEMY OF POLITICAL SCIENCE,2020
,62,Hybrid Optimization in Big Data: Error Detection and Data Repairing by Big Data Cleaning Using CSO-GSA,"Satish,  K. V. Rama; Kavya,  N. P.",Springer,2017
,63,"SCHOOL CIO: WHO'S AFRAID OF BIG DATA?: Big data is overwhelming, but it can also furnish important information about individual students, schools, and districts","Rubenstein, S.","PETER LI, INC.",2014
,64,Exploiting Interdisciplinary Research Design for Temporally Complex Big Data: Discussion of a Case‐Study Using on Heterogenous Bibliographic Big Data,"Mabry, Patricia L.",John Wiley & Sons Ltd,2022
,65,"Control, use and ownership of big data: A reciprocal view of customer big data value in the hospitality and tourism industry","Line, Nathaniel D.; Dogru, Tarik; El-Manstrly, Dahlia; Buoye, Alex; Malthouse, Ed; Kandampully, Jay","Elsevier Science B.V., Amsterdam.",2020
,66,Effectively and Efficiently Supporting Visual Big Data Analytics over Big Sequential Data: An Innovative Data Science Approach,"Cuzzocrea, Alfredo",Springer,2022
,67,Organizational performance and capabilities to analyze big data: do the ambidexterity and business value of big data analytics matter?,"Aljumah, Ahmad Ibrahim; Nuseir, Mohammed T.; Alam, Md. Mahmudul",Emerald Group Publishing Limited,2021
,68,Structuring better services for unstructured data: Academic libraries are key to an ethical research data future with big data,"Laskowski, Cas","Elsevier Science B.V., Amsterdam.",2021
,69,"The Anamorphic Stretch Transform: Putting the Squeeze on ``Big Data'' Coping with a deluge of digital information will require more efficient ways to capture, sample and store data. One new approach works by selectively ``warping'' the data to provide beiter resolution of the fine details- while still reducing total data size","Jalali, B.; Asghari, M.H.",OSA OPTICAL SOCIETY OF AMERICA,2014
,70,Radiotherapy (RT) Patterns Of Practice Variability Identified As A Challenge To Real-World Big Data: Recommendations From The Learning From Analysis Of Multicenter Big Data Aggregation (LAMBDA) Consortium,"Caissie, A.L.; Mierzwa, M.L.; Fuller, C.D.; Rajaraman, M.; Lin, A.; McDonald, A.M.; Popple, R.A.; Xiao, Y.; van Dijk, L.; Balter, P.; Fong, H.; Ping, H.; Kovoor, M.; Lee, J.; Rao, A.; Martel, M.K.; Thompson, R.F.; Merz, B.; Yao, J.; Mayo, C.","Elsevier Science B.V., Amsterdam.",2020
,71,Oncology Reimbursement in the Era of Personalized Medicine and Big Data Little has been written about reimbursement in the era of big data-driven personalized medicine. The way the United States pays for the majority of its health care is a hindrance to the provision of personalized oncology care,"Ward, J.C.",AMERICAN SOCIETY OF CLINICAL ONCOLOGY,2014
,72,Science as a Vocation in the Era of Big Data: the Philosophy of Science behind Big Data and humanity’s Continued Part in Science,"Sætra, H. S.",Springer Nature,2018
,73,On the Analysis of Utility and Risk for Masked Data in Big Data: A Small Data Analysis,"Torra, Vicenç",IOS Press,2018
,74,The Aadhaar Effect: Why the World's Largest Identity Project Matters; Dissent on Aadhaar: Big Data Meets Big Brother; We Are Data: Algorithms and the Making of Our Digital Selves— Alarmingly Simplified Data Gathering,"Crishna, Vickram",ECONOMIC & POLITICAL WEEKLY,2020
,75,183: Head and Neck Radiotherapy (RT) Patterns of Practice Variability Identified as a Challenge to Real-World Big Data: Recommendations from the Learning from Analysis of Multicentre Big Data Aggregation (Lambda) Consortium,"Caissie, Amanda; Mierzwa, Michelle; Fuller, Clifton; Rajaraman, Murali; Lin, Alex; MacDonald, Andrew; Popple, Richard; Xiao, Ying; VanDijk, Lisanne; Balter, Peter; Fong, Helen; Ping, Heng; Lee, Joonsan; Rao, Arvind; Martel, Mary; Thompson, Reid; Yao, John","Elsevier Science B.V., Amsterdam.",2020
,76,'Big data' approaches for novel anti-cancer drug discovery,"Benstead-Hume, Graeme; Wooller, Sarah K.; Pearl, Frances M. G.",Informa Healthcare,2017
,77,Big data and real-world data-based medicine in the management of hypertension,"Okada, Mihoko",Nature Publishing Group,2021
,78,`Big data' reporting guidelines,"Perry, D.C.; Parsons, N.; Costa, M.L.",British Editorial Society of Bone & Joint Surgery,2014
,79,Data: Big and Small,"Jones-Schenk,  Jan",SLACK INCORPORATED,2017
,80,Big Data's Disparate Impact,"Barocas,  Solon; Selbst,  Andrew D.",CALIFORNIA LAW REVIEW INC.,2016
,81,Big Data: An incoming challenge for vehicular ad‐hoc networking,Emilien Bourdy,"John Wiley & Sons, Ltd",2019
,82,Big Data: Promises and Problems,"Gudivada, V. N.; Baeza-Yates, R.; Raghavan, V. V.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,83,Big Data-Based Attack Scenario Reconstruction Architecture in Smart Grid,"Guo, Liang; Jin, Qianqian; Liu, Ying; Xia, Yuanyi; Hu, Han",Springer,2018
,84,Big data: critical questions for sport and society,"Spaaij, Ramón; Thiel, Ansgar",Taylor & Francis,2017
,85,Big Data: transforming drug development and health policy decision making,"Alemayehu, D.; Berger, M. L.",Springer Science + Business Media,2016
,86,Big data: and the micropolitics of entanglement in the Earth's becoming,"Somerville, Margaret; Woods, Annette; Duhn, Iris; Rautio, Pauliina; Powell, Sarah; McConnell-Imbriotis, Alison; Galvez, Sarita",Taylor & Francis,2021
,87,Big Data: The Management Revolution,"McAfee, A.; Brynjolfsson, E.",HARVARD BUSINESS REVIEW,2012
,88,Big Data: The New Information Challenge,"Arnold, S.E.",ONLINE INC,2011
,89,â€˜Big Dataâ€™ in Health Care. What Does It Mean and Will It Make a Difference?,"Velthuis, E. J.; Malka, E. S.; Richards, M. S.","Elsevier Science B.V., Amsterdam",2013
,90,Big Data—Based Estimation for Ship Safety Distance Distribution in Port Waters,"Zhang,  Liye; Wang,  Hua; Meng,  Qiang","Washington, DC; National Academy Press; 1998",2015
,91,Big data-based urban greenness in Chinese megalopolises and possible contribution to air quality control,"Wang, Wenjie","Elsevier Science B.V., Amsterdam.",2022
,92,Big data: Challenges and perspectives,"Duellmann, D.",IOS Press,2014
,93,Big Data-Scoring unter dem Einfluss der Datenschutz-Grundverordnung,"Eschholz, S.",Springer Science + Business Media,2017
,94,Data Envelopment Analysis and Big Data: A Systematic Literature Review with Bibliometric Analysis,"Charles, Vincent; Gherman, Tatiana; Zhu, Joe",Kluwer Academic Publishers,2021
,95,Big data: breaking new ground in airway research,K. B. Greenland,wiley,2018
,96,Big Data: Practical Applications,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,97,“Big Data” – Potenziale für innovative Abschlussprüfungen,unknown,Deutscher Fachverlag GmbH,2018
,98,Big Data-Oriented PaaS Architecture with Disk-as-a-Resource Capability and Container-Based Virtualization,"Enes, Jonatan; Cacheiro, Javier López; Expósito, Roberto R.; Touriño, Juan",Springer Nature,2018
,99,Big Data's Impact on the U.S. Medical Industry,"Makumbi,  Victoria",WARREN GORHAM & LAMONT INC,2017
,100,Data-Driven Energy Efficiency Evaluation and Energy Anomaly Detection of Multi-type Enterprises Based on Energy Consumption Big Data Mining,"Liu, Xiangguo",Springer,2023
,1,``Big data'' in health care. Assessment of the performance of Greek NHS hospitals using key performance and clinical workload indicators,"Christodoulakis,  A.; Karanikas,  H.; Billiris,  A.; Thireos,  E.; Pelekis,  N.",ATHENS MEDICAL SOCIETY,2016
,2,Big Data-Driven Marketing: How Machine Learning Outperforms Marketers' Gut-Feeling,"Sundsoy, P.; Bjelland, J.; Iqbal, A.M.; Pentland, A.; de Montjoye, Y.-A.",SPRINGER-VERLAG,2014
,3,Big Data—A new medium?,"Hegarty, Michael",Taylor & Francis,2023
,4,Big Data-Conceptual Modeling to the Rescue,"Embley, D.W.; Liddle, S.W.",SPRINGER-VERLAG,2013
,5,Big Data-Driven Manufacturing-Process-Monitoring-for-Quality Philosophy,Jeffrey A. Abell; Debejyo Chakraborty; Carlos A. Escobar; Kee H. Im; Diana M. Wegner ; Michael A. Wincek,American Society of Mechanical Engineering (ASME),2017
,6,“Big Data” Analysis: Putting the Data Cart Before the Modelling Horse?,Graham D. Barr,wiley,2018
,7,"Big Data: Techniques and Technologies in Geoinformatics, H.A. Karimi (editor). CRC Press, Taylor & Francis, London (2014). 312 pp., Price:  82. ISBN: 978-1-466-59651-2","Verbesselt, J.","Elsevier Science B. V., Amsterdam",2015
,8,"Big Universe, Big Data: Machine Learning and Image Analysis for Astronomy","Kremer, J.; Stensbo-Smidt, K.; Gieseke, F.; Pedersen, K. S.; Igel, C.",COMPUTER SOCIETY,2017
,9,"Big Data: Concepts, Challenges and Applications","Chebbi,  Imen; Boulila,  Wadii; Farah,  Imed Riadh",Springer,2015
,10,Data-Driven Mary Hammon explains how to leverage the potential of big data-in Planning Practice,unknown,APA AMERICAN PLANNING ASSOCIATION,2015
,11,Big Data: Will It Improve Patient-Centered Care?,"Fiebig, D. G.",ADIS/Springer,2017
,12,Big data's dark side,unknown,Institution of Engineering and Technology,2016
,13,Big Data: Is It Crunch Time for Pharma?,"Upton,  Julian",ASTER PUBLISHING CORPORATION,2017
,14,"Big data: Dimensions, evolution, impacts, and challenges","Lee, In","Elsevier Science B.V., Amsterdam.",2017
,15,Big data's role in expanding access to financial services in China,"Kshetri, Nir","Elsevier Science B.V., Amsterdam.",2016
,16,Big Data-Driven Cognitive Computing System for Optimization of Social Media Analytics,"Sangaiah, Arun Kumar; Goli, Alireza; Tirkolaee, Erfan Babaee; Ranjbar-Bourani, Mehdi; Pandey, Hari Mohan; Zhang, Weizhe",IEEE,2020
,17,"Big data: the elements of good questions, open data, and powerful software","Ho, Joshua W. K.; Giannoulatou, Eleni",SPRINGER,2019
,18,Big data-informed energy efficiency assessment of China industry sectors based on K-means clustering,"Liu, Gengyuan; Yang, Jin; Hao, Yan; Zhang, Yan","Elsevier Science B.V., Amsterdam.",2018
,19,Big data: Little difference,"Morley, S.",Wiley-Blackwell,2015
,20,"Big Data: Opportunities, Challenges and Solutions","Gorodetsky, V.",Springer Science and Business Media,2014
,21,Big data-oriented film and television recommendation system and algorithm design,"Xu, Gaofeng",SPIE,2022
,22,"""Big Data"" in Vascular Surgery: A Reality not to be Missed But to Use With Caution","Ricco, Jean-Baptiste; Guetarni, Farid; Gargiulo, Mauro","Elsevier Science B.V., Amsterdam",2019
,23,Big Data's Big Unintended Consequences,"Wigan, M. R.; Clarke, R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,24,Big Data: Implications for Health System Pharmacy,"Stokes,  Laura B.; Rogers,  Joseph W.; Hertig,  John B.; Weber,  Robert J.",J B LIPPINCOTT CO,2016
,25,Big Data—Small Children: Adult Height in Preterm Infants Treated With GH,"Blethen, Sandra L",ENDOCRINE SOCIETY,2020
,26,Big Data: New Opportunities and New Challenges [Guest editors' introduction],"Michael, K.; Miller, K. W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,27,"‘Big data’, Hadoop and cloud computing in genomics","O’Driscoll, A.; Daugelaite, J.; Sleator, R. D.","Elsevier Science B.V., Amsterdam",2013
,28,Data-Enabled Digestive Medicine: A New Big Data Analytics Platform,"Yan, Lu; Huang, Weihong; Wang, Liming; Feng, Song; Peng, Yonghong; Peng, Jie",IEEE,2021
,29,Big Data: Incentivized Self,"Dobrow, L.",CPS COMMUNICATIONS INC,2013
,30,„Big Data“ im Gesundheitsrecht – Ende der „Datensparsamkeit“?,"Ladeur, K. H.",Springer Science + Business Media,2016
,31,Big Data: You Are Adding To ... and Using It,"Makela,  Carole J.",American Association of Family and Consumer Sciences; 1999,2016
,32,"Big data: Finders keepers, losers weepers?","Sax, M.",Springer Science + Business Media,2016
,33,Big Data: Challenges and opportunities for clinical pharmacology,"Flockhart, D.; Bies, R. R.; Gastonguay, M. R.; Schwartz, S. L.",Wiley-Blackwell,2016
,34,Big data’s role in expanding access to financial services in China,"Kshetri, Nir","Elsevier Science B.V., Amsterdam.",2016
,35,Big Data: An Introduction for Librarians,"Hoy, Matthew B.",Taylor & Francis,2014
,36,BIG BUCKS ARE BACKING BIG DATA'S LOBBYING EFFORTS ON CAPITOL HILL,"Kaye, Kate","Crain Communications, Inc.",2013
,37,Big data-driven decoupling framework enabling quantitative assessments of electric vehicle performance degradation,"Zhao, Yang","Elsevier Science B.V., Amsterdam.",2022
,38,Big Data—What Is It and What Use Is It?,"Atkinson, Graham",Lippincott Williams and Wilkins,2014
,39,Big Data: from collection to visualization,"Ghesmoune, M.; Azzag, H.; Benbernou, S.; Lebbah, M.; Duong, T.; Ouziri, M.",Springer Science + Business Media,2017
,40,‘Big Data’ in animal health research – opportunities and challenges,MacInnes JI,CABI PUBLISHING,2020
,41,Big–deep–smart data in imaging for guiding materials design,"Kalinin, S. V.; Sumpter, B. G.; Archibald, R. K.",Nature Publishing Group,2015
,42,-BIG DATA- IN RESEARCH ON SOCIAL POLICY,"Cook, T. D.","John Wiley & Sons, Ltd",2014
